iter	Logloss
0	0.4650240555
1	0.1855598415
2	0.1257583384
3	0.04747526793
4	0.02548641901
5	0.02262269964
6	0.01803353245
7	0.008975993423
8	0.008512415216
9	0.004231731224
10	0.003812203989
11	0.003579637772
12	0.002171553224
13	0.001191997583
14	0.0007990315
15	0.0005917689012
16	0.0003589376389
17	0.0002659048008
18	0.0002177007348
19	0.0001459295859
20	0.0001194759242
21	0.0001050497615
22	9.505221331e-05
23	8.978874381e-05
24	8.124367999e-05
25	6.018665637e-05
26	4.927647484e-05
27	4.458703706e-05
28	4.034388751e-05
29	2.988745185e-05
30	2.446972867e-05
31	2.214108634e-05
32	2.003405083e-05
33	1.48415812e-05
34	1.215124727e-05
35	1.099489339e-05
36	9.948582912e-06
37	7.370089331e-06
38	6.034115899e-06
39	5.459891426e-06
